species,DateOfObs,method,observer,AliveorDea,DOR,air_temp_f,sub_temp_f,body_temp_,pit,pit_id,weight_g,length_cm,sex,age,recapture,num_subcau,num_rattle,SFD,DNA,notes,,
Gopher Snake,5/26/2020,incidental,NGS,alive,no,68,72,75,no, ,0,0,unknown,adult,no,,,no,no,Snake found basking on the road.,,
Gopher Snake,6/8/2022,driving,cf,alive,no,68,72,75,yes,3D9.1A4FA1070C,353,94.8,female,adult,no,0,0,no,no,pregnant. 7 developing follicles.,,
Gopher Snake,5/16/2019 16:46,driving,cf,alive,no,67,69,75,yes,3D6.00184A5F8A,368,101,f,,,,,,,"windy, in cooler",,
Gopher Snake,5/14/2020,incidental,NGS,alive,no,63,77,74,no, ,0,0,unknown,adult,no,,,no,no,Snake found basking on the road.,,
Gopher Snake,5/18/2020,incidental,NS,alive,no,68,69,74,yes,3D6.1D59ABD214,305,105,female,adult,no,,,no,no,Gopher snake and racer seen basking on road. Racer was not captured.,,
Gopher Snake,5/27/2020,incidental,NGS,alive,no,68,68,73,yes,3D6.1D59ABD1F8,345,102,female,adult,no,,,no,no,Snake found basking on the road.,,
Gopher Snake,5/20/2020,driving,cf,alive,no,60,73,72,no, ,0,0,unknown,adult,no,,,no,no,did not capture,,
Gopher Snake,6/6/2019 23:35,driving,cf,dead,yes,70,72,72,No,,,,,,no,,,,,,,
Gopher Snake,6/4/2019 14:26,driving,cf,alive,no,61,72,72,yes,3D6.00184A5F88,460,103,unknown,adult,no,,,,,"did not sex, laceration on either side of cloeca ",,
Gopher Snake,6/11/2020,active search,NS,alive,no,64,70,72,no, ,0,0,unknown,adult,no,,,no,no,Appears to be a gravid female. Head and neck were sticking out from a hole along a large rock. Snake was in the process of shedding.,,
Gopher Snake,9/24/2021,driving,cf,alive,no,60,70,72,yes,3D6.1533E8C161,75,51.8,female,juv,no,0,0,no,no,crossing road heading east,,
Gopher Snake,9/23/2019 16:09,driving,cf,alive,no,67,75,71,yes,3D6.1D596E5747,13,33,too small ,juv,no,,,,,left side bucket ,,
Gopher Snake,6/6/2022,incidental,Gráinne,alive,no,0,75,71,yes,3D9.1A4FA10650,506,91,female,adult,no,0,0,no,no,Very chunky snake,,
Gopher Snake,5/18/2023 15:49,driving,TS,alive,no,68,70,71,yes,1A4FA1064D,315,105,female,adult,no,0,0,no,no,Found stretched on road pointing north tail 14cm svl 91,,
Gopher Snake,5/20/2020,driving,cf,alive,no,58,70,71,yes,3DD.003D4501F4,383,98,female,adult,no,,,no,no, ,,
Gopher Snake,6/2/2021,driving,cf,alive,no,66,69,71,yes,3D9.1A4FA106EB,206,81,male,adult,no,0,0,no,no, ,,
Gopher Snake,6/6/2019 17:15,incidental,JS,Alive,,82,90,70,,,,,,,,,,,,,,
Gopher Snake,10/19/2020,incidental,cf,alive,no,72,68,68,no, ,0,0,unknown,neonate,no,,,no,no,out on rock possible moving up towards den. retreated under rock when approached,,
Gopher Snake,9/26/2022,driving,cf,alive,no,75,67,68,yes,3D6.1533E8C18B,14,28,unknown,neonate,no,0,0,no,no,crossing road heading north. too small to sex.,,
Gopher Snake,9/23/2021,driving,cf,alive,no,58,66,67,yes,3D6.1533E8C184,30,31.9,male,neonate,no,0,0,no,no,crossing road heading north. umbilical scar present,,
Gopher Snake,9/22/2021,driving,cf,alive,no,61,61,63,yes,3D9.1A4FA106CD,208,86.3,female,adult,no,0,0,no,no,crossing road north to south. total length 99.5,,
Gopher Snake,5/27/2022,incidental,TS,alive,no,69,61,62,no, , , ,unknown,juv,no,0,0,no,no, ,,
Gopher Snake,5/25/2022,incidental,Gráinne,alive,no,0,101,0,yes,3D9.1A4FA10661,338,88.5,male,unknown,no,0,0,no,no,Moving west,,
Gopher Snake,9/21/2021,driving,BP,dead,yes,66,97,0,no, ,18,34.6,unknown,juv,no,0,0,yes,no, ,,
Gopher Snake,7/14/2023 15:13,driving,TS,alive,no,84,92,0,yes,3D6.1533E8C0BA,13,43.4,male,YOY,no,0,0,no,no,Found on road moving north 6.3cm tail 37.1 svl,,
Gopher Snake,7/17/2023 16:15,driving,TS,alive,no,85,89,0,yes,3D6.1533E8C0DC,177,106,female,adult,no,0,0,no,no,Stretched on road facing west 89.4svl 16.6 tail,,
Gopher Snake,6/1/2022,driving,TS,alive,no,76,89,0,yes,3D9.1A4FA105FD,318,89.5,female,adult,no,0,0,no,no,"On road ,going south",,
Gopher Snake,5/17/2022,driving,Ts,alive,no,74,85,0,yes,3D9.1A4FA106EF,317,91.5,male,adult,no,0,0,no,no,On south side of road facing south,,
Gopher Snake,5/12/2023 20:00,driving,TS,alive,no,70,85,0,yes,3D6.1D59804848,277,110,unknown,adult,yes,0,0,no,no,Stretched on road pointin south tail 15 svl 95,,
Gopher Snake,5/17/2022,driving,TS,dead,yes,76,82,0,no, , , ,unknown,juv,no,0,0,no,no,North side of road facing south. Unfortunately struck by ATV while driving and killed. Was collected for specimen purposes.,,
Gopher Snake,6/20/2023 18:20,driving,TS,alive,no,66,82,0,yes,3D6.1533E8C0D2,385,105.8,male,adult,no,0,0,no,no,"Found next to road facing east, very docile 89svl 16.8 tail",,
Gopher Snake,5/24/2022,driving,Grainne,alive,no,0,80,0,yes,3D9.1A4FA106DB,260,86.5,male,adult,no,0,0,no,no,Facing east along road,,
Gopher Snake,5/17/2022,driving,TS,alive,no,74,77,0,yes,3D9.1A4FA106DE,206,81,male,adult,no,0,0,no,no,Stretched out on road facing south. Collected for processing,,
Gopher Snake,5/19/2022,driving,TS,alive,no,74,72,0,yes,3D9.1A4FA10628,367,95.5,male,adult,no,0,0,no,no,Towards south side of road stretched out facing north,,
